epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.47179,0.8376,6.54533,1.09893,0.59989,0.60362,0.64009,0.53979,0.69163,4.30666,0.99232,0.0002307,0.0002307,0.0002307
2,14.5948,0.69508,2.27276,0.95885,0.68429,0.78312,0.80761,0.66448,0.68527,1.98365,0.95041,0.000465994,0.000465994,0.000465994
3,21.3999,0.67656,1.68894,0.9419,0.71276,0.81649,0.82693,0.63861,0.75769,1.85876,0.95733,0.000698141,0.000698141,0.000698141
4,28.087,0.70506,1.41895,0.93546,0.8236,0.8052,0.87643,0.70044,0.72385,1.3031,0.93567,0.000753774,0.000753774,0.000753774
5,34.8907,0.72716,1.37488,0.94446,0.82824,0.83141,0.87332,0.71184,0.73981,1.39389,0.92567,0.000748698,0.000748698,0.000748698
6,41.8707,0.69529,1.23244,0.92888,0.83293,0.76079,0.88503,0.72574,0.6881,1.29793,0.92612,0.000743623,0.000743623,0.000743623
7,48.9944,0.65769,1.06926,0.91968,0.85685,0.85205,0.90278,0.76454,0.62006,1.13628,0.90083,0.000738548,0.000738548,0.000738548
8,55.944,0.63104,1.04006,0.92647,0.86041,0.82367,0.8722,0.73134,0.64161,1.00942,0.91433,0.000733472,0.000733472,0.000733472
9,62.6826,0.64676,1.03055,0.92468,0.86584,0.8447,0.89928,0.75688,0.58218,0.92091,0.8847,0.000728397,0.000728397,0.000728397
10,69.4197,0.60815,0.96521,0.90065,0.87775,0.86478,0.90952,0.76576,0.60781,0.95496,0.89849,0.000723321,0.000723321,0.000723321
11,76.2182,0.60158,0.93368,0.89466,0.93982,0.92915,0.94077,0.80884,0.58162,0.80549,0.88471,0.000718246,0.000718246,0.000718246
12,82.954,0.59763,0.87325,0.90584,0.86812,0.90602,0.92576,0.78097,0.59111,0.84472,0.89191,0.000713171,0.000713171,0.000713171
13,89.5837,0.57092,0.82839,0.88995,0.89849,0.91305,0.93142,0.79303,0.59147,0.75301,0.89651,0.000708095,0.000708095,0.000708095
14,96.2893,0.57156,0.81199,0.89395,0.90684,0.90069,0.92658,0.79595,0.56887,0.77261,0.88381,0.00070302,0.00070302,0.00070302
15,102.976,0.5569,0.78508,0.88664,0.93841,0.9178,0.9569,0.80801,0.58802,0.7401,0.88822,0.000697944,0.000697944,0.000697944
